Community,river_name,sample_n,species,date,length,lat,long,stock,FISHES_ID
Chisasibi,LaGrande,S26,Whitefish,20-10-2020,273,53.839,-78.947616,Source,coclLAGs_026-20
Chisasibi,LaGrande,S26,Whitefish,20-10-2020,273,53.839,-78.947616,Source,coclLAGs_026-20
Chisasibi,LaGrande,S27,Whitefish,20-10-2020,279,53.839,-78.947616,Source,coclLAGs_027-20
Chisasibi,LaGrande,S27,Whitefish,20-10-2020,279,53.839,-78.947616,Source,coclLAGs_027-20
Chisasibi,LaGrande,S27,Whitefish,20-10-2020,279,53.839,-78.947616,Source,coclLAGs_027-20
Chisasibi,LaGrande,S27,Whitefish,20-10-2020,279,53.839,-78.947616,Source,coclLAGs_027-20
Chisasibi,LaGrande,S28,Whitefish,20-10-2020,321,53.839,-78.947616,Source,coclLAGs_028-20
Chisasibi,LaGrande,S28,Whitefish,20-10-2020,321,53.839,-78.947616,Source,coclLAGs_028-20
Chisasibi,LaGrande,S28,Whitefish,20-10-2020,321,53.839,-78.947616,Source,coclLAGs_028-20
Chisasibi,LaGrande,S28,Whitefish,20-10-2020,321,53.839,-78.947616,Source,coclLAGs_028-20
Chisasibi,LaGrande,S29,Whitefish,20-10-2020,424,53.839,-78.947616,Source,coclLAGs_029-20
Chisasibi,LaGrande,S29,Whitefish,20-10-2020,424,53.839,-78.947616,Source,coclLAGs_029-20
Chisasibi,LaGrande,S29,Whitefish,20-10-2020,424,53.839,-78.947616,Source,coclLAGs_029-20
Chisasibi,LaGrande,S29,Whitefish,20-10-2020,424,53.839,-78.947616,Source,coclLAGs_029-20
Chisasibi,LaGrande,S30,Whitefish,20-10-2020,286,53.839,-78.947616,Source,coclLAGs_030-20
Chisasibi,LaGrande,S30,Whitefish,20-10-2020,286,53.839,-78.947616,Source,coclLAGs_030-20
Chisasibi,LaGrande,S30,Whitefish,20-10-2020,286,53.839,-78.947616,Source,coclLAGs_030-20
Chisasibi,LaGrande,S30,Whitefish,20-10-2020,286,53.839,-78.947616,Source,coclLAGs_030-20
Chisasibi,KaapsaouiRiver,2250,Whitefish,09-06-2021,375,54.324954,-79.463733,Source,coclCHIm_2250-21
Chisasibi,KaapsaouiRiver,2249,Whitefish,09-06-2021,320,54.324954,-79.463733,Source,coclCHIm_2249-21
Chisasibi,KaapsaouiRiver,2248,Whitefish,09-06-2021,370,54.324954,-79.463733,Source,coclCHIm_2248-21
Chisasibi,KaapsaouiRiver,2247,Whitefish,09-06-2021,360,54.324954,-79.463733,Source,coclCHIm_2247-21
Chisasibi,KaapsaouiRiver,2246,Whitefish,09-06-2021,385,54.324954,-79.463733,Source,coclCHIm_2246-21
Chisasibi,KaapsaouiRiver,2245,Whitefish,09-06-2021,385,54.324954,-79.463733,Source,coclCHIm_2245-21
Chisasibi,KaapsaouiRiver,2244,Whitefish,09-06-2021,355,54.324954,-79.463733,Source,coclCHIm_2244-21
Chisasibi,KaapsaouiRiver,2243,Whitefish,09-06-2021,330,54.324954,-79.463733,Source,coclCHIm_2243-21
Chisasibi,KaapsaouiRiver,2242,Whitefish,10-06-2021,340,54.324954,-79.463733,Source,coclCHIm_2242-21
Chisasibi,KaapsaouiRiver,2241,Whitefish,10-06-2021,345,54.324954,-79.463733,Source,coclCHIm_2241-21
Chisasibi,KaapsaouiRiver,2240,Whitefish,10-06-2021,350,54.324954,-79.463733,Source,coclCHIm_2240-21
Chisasibi,KaapsaouiRiver,2239,Whitefish,10-06-2021,345,54.324954,-79.463733,Source,coclCHIm_2239-21
Chisasibi,KaapsaouiRiver,2238,Whitefish,10-06-2021,350,54.324954,-79.463733,Source,coclCHIm_2238-21
Chisasibi,KaapsaouiRiver,2237,Whitefish,10-06-2021,340,54.324954,-79.463733,Source,coclCHIm_2237-21
Chisasibi,KaapsaouiRiver,2236,Whitefish,15-06-2021,360,54.324954,-79.463733,Source,coclCHIm_2236-21
Chisasibi,KaapsaouiRiver,2235,Whitefish,15-06-2021,350,54.324954,-79.463733,Source,coclCHIm_2235-21
Chisasibi,KaapsaouiRiver,2234,Whitefish,15-06-2021,355,54.324954,-79.463733,Source,coclCHIm_2234-21
Chisasibi,KaapsaouiRiver,2233,Whitefish,15-06-2021,375,54.324954,-79.463733,Source,coclCHIm_2233-21
Chisasibi,KaapsaouiRiver,2232,Whitefish,15-06-2021,350,54.324954,-79.463733,Source,coclCHIm_2232-21
Chisasibi,KaapsaouiRiver,2231,Whitefish,15-06-2021,320,54.324954,-79.463733,Source,coclCHIm_2231-21
Chisasibi,KaapsaouiRiver,2230,Whitefish,15-06-2021,300,54.324954,-79.463733,Source,coclCHIm_2230-21
Chisasibi,KaapsaouiRiver,2229,Whitefish,15-06-2021,360,54.324954,-79.463733,Source,coclCHIm_2229-21
Chisasibi,KaapsaouiRiver,2228,Whitefish,15-06-2021,360,54.324954,-79.463733,Source,coclCHIm_2228-21
Chisasibi,KaapsaouiRiver,2227,Whitefish,15-06-2021,340,54.324954,-79.463733,Source,coclCHIm_2227-21
Chisasibi,KaapsaouiRiver,2226,Whitefish,15-06-2021,310,54.324954,-79.463733,Source,coclCHIm_2226-21
Chisasibi,KaapsaouiRiver,2625,Whitefish,15-06-2021,380,54.324956,-79.463733,Source,coclCHIm_2625-21
Chisasibi,KaapsaouiRiver,2624,Whitefish,15-06-2021,370,54.324956,-79.463733,Source,coclCHIm_2624-21
Chisasibi,KaapsaouiRiver,2623,Whitefish,15-06-2021,320,54.324956,-79.463733,Source,coclCHIm_2623-21
Chisasibi,KaapsaouiRiver,2622,Whitefish,16-06-2021,390,54.324956,-79.463733,Source,coclCHIm_2622-21
Chisasibi,KaapsaouiRiver,2621,Whitefish,16-06-2021,370,54.324956,-79.463733,Source,coclCHIm_2621-21
Chisasibi,KaapsaouiRiver,2620,Whitefish,16-06-2021,370,54.324956,-79.463733,Source,coclCHIm_2620-21
Chisasibi,KaapsaouiRiver,2619,Whitefish,16-06-2021,395,54.324956,-79.463733,Source,coclCHIm_2619-21
Chisasibi,KaapsaouiRiver,2618,Whitefish,16-06-2021,380,54.324956,-79.463733,Source,coclCHIm_2618-21
Chisasibi,KaapsaouiRiver,2617,Whitefish,16-06-2021,365,54.324956,-79.463733,Source,coclCHIm_2617-21
Eastmain,FishingRiver,S1,Trout,05-02-2021,450,52.2561,-78.443023,Source,safoFISs_001-21
Eastmain,FishingRiver,S2,Trout,05-02-2021,480,52.2561,-78.443023,Source,safoFISs_002-21
Eastmain,FishingRiver,S3,Trout,17-02-2021,230,52.2560718,-78.443023,Source,safoFISs_003-21
Eastmain,FishingRiver,S4,Trout,17-02-2021,225,52.2560718,-78.443023,Source,safoFISs_004-21
Eastmain,FishingRiver,S5,Trout,17-02-2021,240,52.2560718,-78.443023,Source,safoFISs_005-21
Chisasibi,KaapsaouiRiver,2616,Whitefish,16-06-2021,385,54.324956,-79.463733,Mixed,coclCHIm_2616-21
Chisasibi,KaapsaouiRiver,2615,Whitefish,16-06-2021,390,54.324956,-79.463733,Mixed,coclCHIm_2615-21
Chisasibi,KaapsaouiRiver,2614,Whitefish,16-06-2021,390,54.324956,-79.463733,Mixed,coclCHIm_2614-21
Chisasibi,KaapsaouiRiver,2613,Whitefish,16-06-2021,345,54.324956,-79.463733,Mixed,coclCHIm_2613-21
Chisasibi,KaapsaouiRiver,2612,Whitefish,16-06-2021,370,54.324956,-79.463733,Mixed,coclCHIm_2612-21
Chisasibi,KaapsaouiRiver,2611,Whitefish,16-06-2021,360,54.324956,-79.463733,Mixed,coclCHIm_2611-21
Chisasibi,KaapsaouiRiver,2610,Whitefish,16-06-2021,315,54.324956,-79.463733,Mixed,coclCHIm_2610-21
Chisasibi,KaapsaouiRiver,2609,Whitefish,16-06-2021,360,54.324956,-79.463733,Mixed,coclCHIm_2609-21
Chisasibi,KaapsaouiRiver,2608,Whitefish,16-06-2021,360,54.324956,-79.463733,Mixed,coclCHIm_2608-21
Chisasibi,KaapsaouiRiver,2607,Whitefish,16-06-2021,365,54.324956,-79.463733,Mixed,coclCHIm_2607-21
Chisasibi,KaapsaouiRiver,2606,Whitefish,16-06-2021,370,54.324956,-79.463733,Mixed,coclCHIm_2606-21
Chisasibi,KaapsaouiRiver,2605,Whitefish,17-06-2021,330,54.324956,-79.463733,Mixed,coclCHIm_2605-21
Chisasibi,KaapsaouiRiver,2604,Whitefish,17-06-2021,370,54.324956,-79.463733,Mixed,coclCHIm_2604-21
Chisasibi,KaapsaouiRiver,2603,Whitefish,17-06-2021,370,54.324956,-79.463733,Mixed,coclCHIm_2603-21
Chisasibi,KaapsaouiRiver,2602,Whitefish,17-06-2021,370,54.324956,-79.463733,Mixed,coclCHIm_2602-21
Chisasibi,KaapsaouiRiver,2601,Whitefish,17-06-2021,300,54.324956,-79.463733,Mixed,coclCHIm_2601-21
Eastmain,EastmainRiver,M1,Whitefish,08-07-2020,380,52.288,-78.565933,Mixed,coclEASm_001-20
Eastmain,EastmainRiver,M2,Whitefish,08-07-2020,396,52.288,-78.565933,Mixed,coclEASm_002-20
Eastmain,EastmainRiver,M3,Whitefish,08-07-2020,395,52.288,-78.565933,Mixed,coclEASm_003-20
Eastmain,EastmainRiver,M4,Whitefish,08-07-2020,415,52.288,-78.565933,Mixed,coclEASm_004-20
Eastmain,EastmainRiver,M5,Whitefish,08-07-2020,438,52.288,-78.565933,Mixed,coclEASm_005-20
Eastmain,EastmainRiver,M6,Whitefish,08-07-2020,418,52.288,-78.565933,Mixed,coclEASm_006-20
Eastmain,EastmainRiver,M7,Whitefish,08-07-2020,445,52.288,-78.565933,Mixed,coclEASm_007-20
Eastmain,EastmainRiver,M8,Whitefish,08-07-2020,417,52.288,-78.565933,Mixed,coclEASm_008-20
Eastmain,EastmainRiver,M9,Whitefish,08-07-2020,374,52.288,-78.565933,Mixed,coclEASm_009-20
Eastmain,EastmainRiver,M10,Whitefish,08-07-2020,334,52.288,-78.565933,Mixed,coclEASm_010-20
Eastmain,EastmainRiver,M11,Whitefish,08-07-2020,354,52.288,-78.565933,Mixed,coclEASm_011-20
Eastmain,EastmainRiver,M12,Whitefish,08-07-2020,305,52.288,-78.565933,Mixed,coclEASm_012-20
Eastmain,EastmainRiver,M13,Whitefish,08-07-2020,378,52.288,-78.565933,Mixed,coclEASm_013-20
Chisasibi,LaGrande,S1,Cisco,17-10-2020,394,53.8295,-78.927617,Source,coarLAGs_001-20
Chisasibi,LaGrande,S2,Cisco,17-10-2020,318,53.8295,-78.927617,Source,coarLAGs_002-20
Chisasibi,LaGrande,S3,Cisco,17-10-2020,318,53.8295,-78.927617,Source,coarLAGs_003-20
Chisasibi,LaGrande,S4,Cisco,17-10-2020,330,53.8295,-78.927617,Source,coarLAGs_004-20
Chisasibi,LaGrande,S5,Cisco,17-10-2020,305,53.8295,-78.927617,Source,coarLAGs_005-20
Chisasibi,LaGrande,S6,Cisco,17-10-2020,318,53.8295,-78.927617,Source,coarLAGs_006-20
Chisasibi,LaGrande,S7,Cisco,17-10-2020,299,53.8295,-78.927617,Source,coarLAGs_007-20
Chisasibi,LaGrande,S8,Cisco,17-10-2020,330,53.8295,-78.927617,Source,coarLAGs_008-20
Chisasibi,LaGrande,S9,Cisco,17-10-2020,305,53.8295,-78.927617,Source,coarLAGs_009-20
Chisasibi,LaGrande,S10,Cisco,17-10-2020,305,53.8295,-78.927617,Source,coarLAGs_010-20
Chisasibi,LaGrande,S11,Cisco,18-10-2020,292,53.8295,-78.927617,Source,coarLAGs_011-20
Chisasibi,LaGrande,S12,Cisco,18-10-2020,318,53.8295,-78.927617,Source,coarLAGs_012-20
Chisasibi,LaGrande,S13,Cisco,18-10-2020,318,53.8295,-78.927617,Source,coarLAGs_013-20
Chisasibi,LaGrande,S14,Cisco,18-10-2020,299,53.8295,-78.927617,Source,coarLAGs_014-20
Chisasibi,LaGrande,S15,Cisco,18-10-2020,324,53.8295,-78.927617,Source,coarLAGs_015-20
Chisasibi,LaGrande,S16,Cisco,19-10-2020,299,53.8295,-78.927617,Source,coarLAGs_016-20
Chisasibi,LaGrande,S17,Cisco,19-10-2020,286,53.8295,-78.927617,Source,coarLAGs_017-20
Chisasibi,LaGrande,S18,Cisco,19-10-2020,318,53.8295,-78.927617,Source,coarLAGs_018-20
Chisasibi,LaGrande,S19,Cisco,19-10-2020,305,53.8295,-78.927617,Source,coarLAGs_019-20
Chisasibi,LaGrande,S20,Cisco,19-10-2020,406,53.8295,-78.927617,Source,coarLAGs_020-20
Chisasibi,LaGrande,S31,Cisco,20-10-2020,243,53.8294,-78.927671,Source,coarLAGs_031-20
Chisasibi,LaGrande,S32,Cisco,20-10-2020,300,53.8294,-78.927671,Source,coarLAGs_032-20
Chisasibi,LaGrande,S33,Cisco,20-10-2020,372,53.8294,-78.927671,Source,coarLAGs_033-20
Chisasibi,LaGrande,S34,Cisco,20-10-2020,291,53.8294,-78.927671,Source,coarLAGs_034-20
Chisasibi,LaGrande,S35,Cisco,20-10-2020,259,53.8294,-78.927671,Source,coarLAGs_035-20
Chisasibi,LaGrande,S36,Cisco,20-10-2020,233,53.8294,-78.927671,Source,coarLAGs_036-20
Chisasibi,LaGrande,S37,Cisco,20-10-2020,311,53.8294,-78.927671,Source,coarLAGs_037-20
Chisasibi,LaGrande,S38,Cisco,20-10-2020,310,53.8294,-78.927671,Source,coarLAGs_038-20
Chisasibi,LaGrande,S39,Cisco,20-10-2020,284,53.8294,-78.927671,Source,coarLAGs_039-20
Chisasibi,LaGrande,S40,Cisco,20-10-2020,254,53.8294,-78.927671,Source,coarLAGs_040-20
Chisasibi,LaGrande,S1,Trout,17-10-2020,351,53.8383,-78.944376,Source,safoLAGs_001-20
Chisasibi,LaGrande,S2,Trout,17-10-2020,356,53.8383,-78.944376,Source,safoLAGs_002-20
Chisasibi,LaGrande,S3,Trout,17-10-2020,324,53.8383,-78.944376,Source,safoLAGs_003-20
Chisasibi,LaGrande,S4,Trout,17-10-2020,338,53.8383,-78.944376,Source,safoLAGs_004-20
Chisasibi,LaGrande,S5,Trout,17-10-2020,427,53.8383,-78.944376,Source,safoLAGs_005-20
Chisasibi,LaGrande,S6,Trout,17-10-2020,338,53.8383,-78.944376,Source,safoLAGs_006-20
Chisasibi,LaGrande,S7,Trout,17-10-2020,305,53.8383,-78.944376,Source,safoLAGs_007-20
Chisasibi,LaGrande,S8,Trout,17-10-2020,343,53.8383,-78.944376,Source,safoLAGs_008-20
Chisasibi,LaGrande,S9,Trout,17-10-2020,341,53.8383,-78.944376,Source,safoLAGs_009-20
Chisasibi,LaGrande,S10,Trout,17-10-2020,267,53.8383,-78.944376,Source,safoLAGs_010-20
Chisasibi,LaGrande,S11,Trout,19-10-2020,279,53.8243,-78.914361,Source,safoLAGs_011-20
Chisasibi,LaGrande,S12,Trout,19-10-2020,276,53.8243,-78.914361,Source,safoLAGs_012-20
Chisasibi,LaGrande,S13,Trout,20-10-2020,343,53.839,-78.947616,Source,safoLAGs_013-20
Chisasibi,LaGrande,S14,Trout,20-10-2020,394,53.839,-78.947616,Source,safoLAGs_014-20
Chisasibi,LaGrande,S15,Trout,20-10-2020,356,53.839,-78.947616,Source,safoLAGs_015-20
Chisasibi,LaGrande,S16,Trout,20-10-2020,337,53.839,-78.947616,Source,safoLAGs_016-20
Chisasibi,LaGrande,S17,Trout,20-10-2020,311,53.839,-78.947616,Source,safoLAGs_017-20
Chisasibi,LaGrande,S18,Trout,20-10-2020,362,53.839,-78.947616,Source,safoLAGs_018-20
Chisasibi,LaGrande,S19,Trout,20-10-2020,362,53.839,-78.947616,Source,safoLAGs_019-20
Eastmain,EastmainRiver,M14,Whitefish,08-07-2020,350,52.288,-78.565933,Mixed,coclEASm_014-20
Eastmain,EastmainRiver,M15,Whitefish,08-07-2020,374,52.288,-78.565933,Mixed,coclEASm_015-20
Eastmain,EastmainRiver,M16,Whitefish,08-07-2020,434,52.288,-78.565933,Mixed,coclEASm_016-20
Eastmain,EastmainRiver,M17,Whitefish,08-07-2020,389,52.288,-78.565933,Mixed,coclEASm_017-20
Eastmain,EastmainRiver,M18,Whitefish,08-07-2020,374,52.288,-78.565933,Mixed,coclEASm_018-20
Eastmain,EastmainRiver,M19,Whitefish,08-07-2020,366,52.288,-78.565933,Mixed,coclEASm_019-20
Eastmain,EastmainRiver,M20,Whitefish,08-07-2020,353,52.288,-78.565933,Mixed,coclEASm_020-20
Eastmain,EastmainRiver,M22,Whitefish,09-07-2020,378,52.288,-78.565933,Mixed,coclEASm_022-20
Eastmain,EastmainRiver,M23,Whitefish,09-07-2020,330,52.288,-78.565933,Mixed,coclEASm_023-20
Eastmain,EastmainRiver,M24,Whitefish,09-07-2020,385,52.288,-78.565933,Mixed,coclEASm_024-20
Wemindji,AahchikukinMinistikush,M2,Cisco,09-07-2021,355,52.867417,-78.890285,Mixed,coarWEMm_002-21
Wemindji,AahchikukinMinistikush,M3,Cisco,09-07-2021,375,52.867417,-78.890285,Mixed,coarWEMm_003-21
Wemindji,FlipIsland,M43,Cisco,26/08/2021,35,52.884665,-78.889472,Mixed,coarWEMm_043-21
Wemindji,FlipIsland,M44,Cisco,26/08/2021,26,52.884665,-78.889472,Mixed,coarWEMm_044-21
Wemindji,FlipIsland,M45,Cisco,26/08/2021,39,52.884665,-78.889472,Mixed,coarWEMm_045-21
Wemindji,FlipIsland,M46,Cisco,26/08/2021,22,52.884665,-78.889472,Mixed,coarWEMm_046-21
Wemindji,FlipIsland,M47,Cisco,26/08/2021,30,52.884665,-78.889472,Mixed,coarWEMm_047-21
Wemindji,FlipIsland,M48,Cisco,26/08/2021,35,52.884665,-78.889472,Mixed,coarWEMm_048-21
Wemindji,FlipIsland,M49,Cisco,26/08/2021,43,52.884665,-78.889472,Mixed,coarWEMm_049-21
Wemindji,FlipIsland,M50,Cisco,26/08/2021,35,52.884665,-78.889472,Mixed,coarWEMm_050-21
