Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Chr19_13153796	41762	23812	0.57
Chr19_18094513	50273	36461	0.73
Chr19_19883837	51816	41005	0.79
Chr19_20199684	167138	100917	0.60
Chr19_24205765	71399	23475	0.33
Chr19_34346425	95569	91854	0.96
Chr19_39499732	80747	69274	0.86
Chr19_39925690	310014	47287	0.15
Chr19_40556612	84322	81615	0.97
Chr19_40790525	65231	63671	0.98
Chr19_41313439	47523	44738	0.94
Chr19_44241570	64680	60947	0.94
Chr19_45571651	118074	99354	0.84
Chr19_46172459	46941	45187	0.96
Chr19_47312481	94591	92706	0.98
Chr19_49696197	18386	17874	0.97
Chr19_52045547	34195	28741	0.84
Chr19_53424344	42162	40513	0.96
Chr19_60316652	130013	111176	0.86
Chr20_5313330	26700	25373	0.95
Chr20_6976132	188055	169992	0.90
Chr20_8052765	194123	91685	0.47
Chr20_8451633	66196	63739	0.96
Chr20_13478195	16217	15751	0.97
Chr20_18516364	39516	32170	0.81
Chr20_19867025	105856	96654	0.91
Chr20_21381057	5319	4428	0.83
Chr20_28931046	65866	60218	0.91
Chr20_30846019	109122	56589	0.52
Chr20_31285212	63589	58018	0.91
Chr20_33069284	55681	51206	0.92
Chr20_35166547	50802	42869	0.84
Chr20_35970575	50736	46257	0.91
Chr20_41995687	27177	25487	0.94
Chr20_43726079	51018	42208	0.83
Chr20_46216049	10081	8869	0.88
Chr20_46632207	50379	45477	0.90
Chr20_48517990	128189	107343	0.84
Chr20_49367546	76349	28836	0.38
Chr20_50676426	93723	81841	0.87
Chr20_52673378	9160	8997	0.98
Chr21_753863	61962	59185	0.96
Chr21_3217074	76326	40904	0.54
Chr21_14254966	34414	32356	0.94
Chr21_19932533	157192	153427	0.98
Chr21_20403169	90683	88561	0.98
Chr21_30038223	63548	21374	0.34
Chr21_42776535	54383	52726	0.97
Chr21_43181288	12626	12256	0.97
Chr21_44463341	20521	19867	0.97
Chr21_45821089	56895	50850	0.89
Chr23_4298462	25467	20869	0.82
Chr23_8431438	121106	116314	0.96
Chr23_9823802	59766	58472	0.98
Chr23_10400615	76863	75562	0.98
Chr23_13021020	176129	169204	0.96
Chr23_16236203	20119	19207	0.95
Chr23_17964315	78877	75528	0.96
Chr23_18466711	131053	66247	0.51
Chr23_18860199	13412	11620	0.87
Chr23_19383646	45143	43518	0.96
Chr23_20292817	986966	104062	0.11
Chr23_22378286	8675	7515	0.87
Chr23_23036115	114521	108650	0.95
Chr23_23742274	69900	66299	0.95
Chr23_25428585	20431	19931	0.98
Chr23_26246298	149668	145355	0.97
Chr23_28608641	53897	52262	0.97
Chr23_31332116	44757	43436	0.97
Chr23_32292777	52176	47989	0.92
Chr23_38593380	39112	37898	0.97
Chr23_41558163	76426	68595	0.90
Chr23_52839702	601851	77433	0.13
Chr23_54476361	162120	156527	0.97
Chr24_1300443	168058	129349	0.77
Chr24_8749231	130199	99146	0.76
Chr24_11059604	52587	50774	0.97
Chr24_14431922	47206	35966	0.76
Chr24_17229410	186855	167936	0.90
Chr24_18055612	64528	51917	0.80
Chr24_33848903	73435	35910	0.49
Chr24_45565670	35204	34337	0.98
Chr24_46324531	60801	43430	0.71
Chr24_46566650	34937	24205	0.69
Chr25_2149841	52690	51210	0.97
Chr25_9333520	61948	57669	0.93
Chr25_11462614	127028	121288	0.95
Chr25_12611833	62170	59289	0.95
Chr25_16904948	22309	21743	0.97
Chr25_19085953	72192	62145	0.86
Chr25_20314216	36308	22552	0.62
Chr25_20859209	8702	8450	0.97
Chr25_26156628	74905	4571	0.06
Chr25_26502776	55496	53461	0.96
Chr25_27157802	39967	32476	0.81
Chr25_27725022	143522	73409	0.51
Chr25_37684744	146052	105229	0.72
Chr25_46028126	144242	134807	0.93
Chr26_5644510	92105	79315	0.86
Chr26_22318813	126957	103112	0.81
Chr26_31061679	19280	18289	0.95
Chr26_32139006	150015	14171	0.09
Chr26_38326414	61417	58917	0.96
Chr26_44175674	175537	106122	0.60
Chr26_45940871	64281	40939	0.64
Chr26_46262311	109118	47477	0.44
Chr26_46821185	36829	35706	0.97
Chr26_47062572	457858	58375	0.13
Chr26_47639716	25601	18856	0.74
Chr26_49293061	69598	43352	0.62
Chr26_53266541	61184	58477	0.96
Chr27_12521947	75237	57365	0.76
Chr27_21268428	593843	32254	0.05
Chr27_32164840	82946	27710	0.33
Chr27_35315690	18226	17300	0.95
Chr27_36925774	69854	66655	0.95
Chr27_42883310	21461	19988	0.93
Chr27_47153426	77122	74575	0.97
Chr27_47866283	7861	7667	0.98
Chr27_48344630	118262	111180	0.94
Chr27_48882471	64990	59338	0.91
Chr28_45234435	67690	66366	0.98
Chr28_45464213	65129	62679	0.96
Chr29_5384992	51521	42338	0.82
Chr29_7619385	139494	136290	0.98
Chr29_8248786	51973	48855	0.94
Chr29_10670830	49382	48329	0.98
Chr29_17395705	12931	12618	0.98
Chr29_26376196	30743	23876	0.78
Chr29_29542234	166960	107296	0.64
Chr29_31733359	62218	59156	0.95
Chr29_36440325	17881	16790	0.94
Chr29_38188351	19465	19068	0.98
Chr29_39274315	11537	7361	0.64
Chr29_40060560	108281	81035	0.75
Chr29_46345088	150715	138209	0.92
Chr29_47543021	96498	64894	0.67
Chr30_7406916	91334	35044	0.38
Chr30_11085998	51729	49883	0.96
Chr30_13274624	63341	32156	0.51
Chr30_13890170	55172	49785	0.90
Chr30_18319618	77407	73722	0.95
Chr30_18715329	55269	38180	0.69
Chr30_18924476	78043	74499	0.95
Chr30_21716175	14885	2070	0.14
Chr30_22842501	54381	33908	0.62
Chr30_25103142	43909	43172	0.98
Chr30_37389054	24129	22345	0.93
Chr30_38227113	46609	39938	0.86
Chr30_39162856	114087	108870	0.95
Chr30_42413522	34190	33461	0.98
Chr31_7740194	113263	101182	0.89
Chr31_18040124	40533	38456	0.95
Chr31_22663055	43624	36379	0.83
Chr31_30222565	101825	85585	0.84
Chr31_38015245	37518	36065	0.96
Chr31_38326110	34446	33187	0.96
Chr31_41556940	46472	42809	0.92
Chr31_42112453	92175	89558	0.97
Chr31_47543236	27356	26443	0.97
Chr31_51129306	55511	53541	0.96
Chr32_8694941	78486	55339	0.71
Chr33_1230551	884527	51161	0.06
Chr33_11270610	59130	57591	0.97
Chr33_11494984	80267	77123	0.96
Chr33_11956437	57410	50224	0.87
Chr33_14734849	170582	125989	0.74
Chr33_18035764	123005	116461	0.95
Chr33_20700637	113378	105553	0.93
Chr33_21638198	20935	16960	0.81
Chr33_23143675	51774	32281	0.62
Chr33_24382355	49743	47355	0.95
Chr33_29460763	534984	96554	0.18
Chr33_30983557	72796	70561	0.97
Chr34_14572792	53454	41142	0.77
Chr34_16097370	61420	56863	0.93
Chr34_20375286	12156	11323	0.93
Chr34_22002435	21272	20653	0.97
Chr34_24769784	108116	91750	0.85
Chr34_26117862	418374	136417	0.33
Chr34_28312068	80937	78879	0.97
Chr34_32801016	51935	49736	0.96
Chr34_33620240	30829	28490	0.92
Chr34_33877614	66430	58114	0.87
Chr34_34871254	509417	37426	0.07
Chr34_34060819	159393	97352	0.61
Chr36_18147074	57327	54502	0.95
Chr36_22421098	64905	62755	0.97
Chr36_31988530	42280	40918	0.97
Chr36_40846377	209076	153195	0.73
Chr36_42859419	143155	138856	0.97
Chr37_13359569	74859	59629	0.80
Chr37_15166396	98226	92671	0.94
Chr37_16199790	88508	64140	0.72
Chr37_17144458	38170	23924	0.63
Chr37_26003028	106099	70954	0.67
Chr37_30444834	60746	40535	0.67
Chr37_32166674	57450	50663	0.88
Chr37_34213487	24783	24130	0.97
Chr37_34946859	53520	37830	0.71
Chr39_3190433	63027	56447	0.90
Chr39_12550986	207382	192815	0.93
Chr39_13322996	52439	49260	0.94
Chr39_14795770	38159	36270	0.95
Chr39_16570391	59515	52837	0.89
Chr39_19205994	9073	8984	0.99
Chr39_20414851	106778	100499	0.94
Chr39_25608830	122791	87100	0.71
Chr39_27752887	163956	155292	0.95
